hash_commit;hash_experiment;num_mpi_tasks;num_nodes;num_omp_threads;num_nvp;wrapper;additional_exports;modules;timer;cmakeargs_set;rb_batch_size;rb_prefetch;sd_batch_size;sd_prefetch;dist;local_spike_counter_per_rank_sum;model_time_sim;model_time_presim;spike_buffer_size;max_spike_buffer_size;V0_type;wall_time_phase_total;wall_time_phase_update;wall_time_phase_collocate;wall_time_phase_communicate;wall_time_phase_deliver;wall_time_phase_sim;wall_time_total;wall_time_preparation;wall_time_creation;wall_time_presim;max_memory;rate_sum;number_of_neurons;wall_time_sim;wall_time_sim_min;wall_time_sim_avg;wall_time_sim_std;wall_time_connect;wall_time_connect_min;wall_time_connect_avg;wall_time_connect_std
;5d4589ad24410625218c0c3be420ca22a012ae2fcdedcbbe9d5fecc82b3c71c2;1;1;128;128;--cpu-bind=cores --distribution=block:block:fcyclic --hint=nomultithread;;nest-simulator/2.14.0-timers/intel_mpi;;;;;;;;24572533;100000.0;100.0;;;'optimized';85.917188;40.428219;7.326128000000001;0.035249;33.057108;85.93034899999999;104.642;0.172;10.991;0.246;19807352;3.18102695542115;77170;85.936;85.936;85.936;0;7.298;7.298;7.298;0
;5d4589ad24410625218c0c3be420ca22a012ae2fcdedcbbe9d5fecc82b3c71c2;1;2;128;128;--cpu-bind=cores --distribution=block:block:fcyclic --hint=nomultithread;;nest-simulator/2.14.0-timers/intel_mpi;;;;;;;;24578389;100000.0;100.0;;;'optimized';73.45173700000001;24.85715;5.0992975;9.1141215;22.18074;73.45837949999999;92.438;0.264;15.072;0.275;10198408;3.181785041445531;77170;73.461;73.461;73.461;0.0;3.366;3.366;3.3695000000000004;0.004949747468158308
;5d4589ad24410625218c0c3be420ca22a012ae2fcdedcbbe9d5fecc82b3c71c2;1;3;128;128;--cpu-bind=cores --distribution=block:block:fcyclic --hint=nomultithread;;nest-simulator/2.14.0-timers/intel_mpi;;;;;;;;24760100;100000.0;100.0;;;'optimized';77.760533;19.605316333333334;4.366701666666667;16.828971666666668;22.535117666666668;77.76529133333332;100.633;0.294;19.579;0.682;7325064;3.2053083627529655;77170;77.768;77.767;77.76733333333333;0.0005773519422050894;2.311;2.016;2.1813333333333333;0.15069948020259558
;5d4589ad24410625218c0c3be420ca22a012ae2fcdedcbbe9d5fecc82b3c71c2;1;4;128;128;--cpu-bind=cores --distribution=block:block:fcyclic --hint=nomultithread;;nest-simulator/2.14.0-timers/intel_mpi;;;;;;;;24651202;100000.0;100.0;;;'optimized';113.19178875;27.6152585;3.934846;18.2432865;22.266857249999997;113.19492;139.806;0.338;23.743;0.712;6235528;3.1912110178275785;77170;113.197;113.196;113.19675000000001;0.0004999970529762481;1.817;1.701;1.75125;0.05249999999999733
;5d4589ad24410625218c0c3be420ca22a012ae2fcdedcbbe9d5fecc82b3c71c2;1;5;128;128;--cpu-bind=cores --distribution=block:block:fcyclic --hint=nomultithread;;nest-simulator/2.14.0-timers/intel_mpi;;;;;;;;24730070;100000.0;100.0;;;'optimized';125.3690056;43.68838019999999;3.7076672;25.695571199999996;18.8682184;125.371947;155.344;0.366;27.383;0.825;5315208;3.20142084169556;77170;125.376;125.374;125.3758;0.001095444304132174;1.394;1.369;1.4522;0.10160068897404254
;5d4589ad24410625218c0c3be420ca22a012ae2fcdedcbbe9d5fecc82b3c71c2;1;6;128;128;--cpu-bind=cores --distribution=block:block:fcyclic --hint=nomultithread;;nest-simulator/2.14.0-timers/intel_mpi;;;;;;;;24689318;100000.0;100.0;;;'optimized';117.79202933333333;23.377450666666665;3.5327309999999996;27.061431166666665;18.784547833333335;117.79491783333334;152.42;0.413;32.35;0.498;4934280;3.196145308624251;77170;117.797;117.797;117.79700000000001;2.412626388678268e-06;1.363;1.153;1.2513333333333334;0.09471782655164195
;5d4589ad24410625218c0c3be420ca22a012ae2fcdedcbbe9d5fecc82b3c71c2;1;7;128;128;--cpu-bind=cores --distribution=block:block:fcyclic --hint=nomultithread;;nest-simulator/2.14.0-timers/intel_mpi;;;;;;;;24683649;100000.0;100.0;;;'optimized';147.46724899999998;43.44402485714286;3.4273611428571433;30.074942571428572;19.118726142857142;147.46990842857144;185.449;0.477;35.861;0.407;4539016;3.1954114306064545;77170;147.472;147.472;147.472;2.202416493185523e-06;1.233;1.045;1.1597142857142855;0.0713342234034413
;5d4589ad24410625218c0c3be420ca22a012ae2fcdedcbbe9d5fecc82b3c71c2;1;8;128;128;--cpu-bind=cores --distribution=block:block:fcyclic --hint=nomultithread;;nest-simulator/2.14.0-timers/intel_mpi;;;;;;;;24655793;100000.0;100.0;;;'optimized';152.745259625;41.0823965;3.2940632499999998;29.602284;19.20180375;152.747291;195.734;0.425;40.659;0.938;4473480;3.1918053438074176;77170;152.749;152.749;152.749;2.039041457461734e-06;0.963;0.963;1.052625;0.10351940811820304
;5d4589ad24410625218c0c3be420ca22a012ae2fcdedcbbe9d5fecc82b3c71c2;1;9;128;128;--cpu-bind=cores --distribution=block:block:fcyclic --hint=nomultithread;;nest-simulator/2.14.0-timers/intel_mpi;;;;;;;;24603328;100000.0;100.0;;;'optimized';169.4765431111111;36.58869744444444;3.1812030000000004;37.716963888888884;19.361518666666665;169.4791627777778;216.134;0.453;44.625;0.66;3884680;3.185013509232766;77170;169.481;169.481;169.481;1.9073486328125e-06;0.916;0.849;0.9245555555555557;0.05844037797428583
;5d4589ad24410625218c0c3be420ca22a012ae2fcdedcbbe9d5fecc82b3c71c2;1;10;128;128;--cpu-bind=cores --distribution=block:block:fcyclic --hint=nomultithread;;nest-simulator/2.14.0-timers/intel_mpi;;;;;;;;24682577;100000.0;100.0;;;'optimized';202.7172189;49.4437733;3.1456502;41.719209799999994;20.0122289;202.7201554;254.669;0.68;49.252;1.118;3884936;3.19527265529598;77170;202.723;202.722;202.72289999999998;0.0003162596464978971;0.897;0.799;0.8761000000000001;0.04994541464883679
