hash_commit;hash_experiment;num_mpi_tasks;num_nodes;num_omp_threads;num_nvp;wrapper;additional_exports;modules;timer;cmakeargs_set;rb_batch_size;rb_prefetch;sd_batch_size;sd_prefetch;dist;local_spike_counter_per_rank_sum;model_time_sim;model_time_presim;spike_buffer_size;max_spike_buffer_size;V0_type;wall_time_phase_total;wall_time_phase_update;wall_time_phase_collocate;wall_time_phase_communicate;wall_time_phase_deliver;wall_time_phase_sim;wall_time_total;wall_time_preparation;wall_time_creation;wall_time_presim;max_memory;rate_sum;number_of_neurons;wall_time_sim;wall_time_sim_min;wall_time_sim_avg;wall_time_sim_std;wall_time_connect;wall_time_connect_min;wall_time_connect_avg;wall_time_connect_std
;53edbf6b0216c5126673dfacaba388c4cef6b4fd4ca7f0d799b8feba9574af04;4;1;32;128;--cpu-bind=cores --distribution=block:block:fcyclic --hint=nomultithread;;nest-simulator/2.14.0-timers/intel_mpi;;;;;;;;24572533;100000.0;100.0;;;'optimized';83.45882675;37.065546000000005;1.65697775;8.6369665;28.49219225;83.45998775000001;88.988;0.149;2.065;0.222;5531652;3.1810269554211503;77170;83.461;83.461;83.461;0.0;3.092;3.092;3.1157500000000002;0.040933889789887073
;53edbf6b0216c5126673dfacaba388c4cef6b4fd4ca7f0d799b8feba9574af04;4;2;32;128;--cpu-bind=cores --distribution=block:block:fcyclic --hint=nomultithread;;nest-simulator/2.14.0-timers/intel_mpi;;;;;;;;24578389;100000.0;100.0;;;'optimized';65.106917625;18.631484125;1.3932054999999999;15.763373;18.376436625;65.107987375;70.294;0.214;3.019;0.225;3260692;3.181785041445531;77170;65.109;65.109;65.109;0.0;1.726;1.726;1.77475;0.041361645449443624
;53edbf6b0216c5126673dfacaba388c4cef6b4fd4ca7f0d799b8feba9574af04;4;3;32;128;--cpu-bind=cores --distribution=block:block:fcyclic --hint=nomultithread;;nest-simulator/2.14.0-timers/intel_mpi;;;;;;;;24760100;100000.0;100.0;;;'optimized';73.05957775;14.246556916666668;1.1343106666666667;23.629686833333334;15.6181385;73.06041499999999;78.851;0.244;4.093;0.311;2554004;3.205308362752965;77170;73.061;73.061;73.0611666666667;0.0003892469890138795;1.141;1.133;1.219666666666667;0.06145853492519107
;53edbf6b0216c5126673dfacaba388c4cef6b4fd4ca7f0d799b8feba9574af04;4;4;32;128;--cpu-bind=cores --distribution=block:block:fcyclic --hint=nomultithread;;nest-simulator/2.14.0-timers/intel_mpi;;;;;;;;24651202;100000.0;100.0;;;'optimized';62.507098187500006;9.317758937499999;1.088793375;21.71025175;14.717411750000002;62.50780449999999;69.168;0.437;4.987;0.271;2271508;3.191211017827578;77170;62.508;62.508;62.50800000000002;1.3929304949573926e-06;0.964;0.881;0.9639375000000001;0.044467919147773545
;53edbf6b0216c5126673dfacaba388c4cef6b4fd4ca7f0d799b8feba9574af04;4;5;32;128;--cpu-bind=cores --distribution=block:block:fcyclic --hint=nomultithread;;nest-simulator/2.14.0-timers/intel_mpi;;;;;;;;24730070;100000.0;100.0;;;'optimized';78.83936889999998;7.607809300000001;1.0277213;28.76946085;15.1001691;78.8401323;86.542;0.599;6.079;0.219;2049556;3.2014208416955596;77170;78.841;78.841;78.84104999999997;0.00022362134926448752;0.805;0.751;0.8138000000000002;0.02705861084853383
;53edbf6b0216c5126673dfacaba388c4cef6b4fd4ca7f0d799b8feba9574af04;4;6;32;128;--cpu-bind=cores --distribution=block:block:fcyclic --hint=nomultithread;;nest-simulator/2.14.0-timers/intel_mpi;;;;;;;;24689318;100000.0;100.0;;;'optimized';108.25004716666666;11.896749125000001;1.0383321666666667;29.30197283333333;14.899042000000001;108.25117441666666;117.515;1.123;7.166;0.268;1951252;3.1961453086242506;77170;108.253;108.253;108.25300000000003;1.5908387302938444e-06;0.706;0.649;0.7205416666666666;0.04290533479211321
;53edbf6b0216c5126673dfacaba388c4cef6b4fd4ca7f0d799b8feba9574af04;4;7;32;128;--cpu-bind=cores --distribution=block:block:fcyclic --hint=nomultithread;;nest-simulator/2.14.0-timers/intel_mpi;;;;;;;;24683649;100000.0;100.0;;;'optimized';103.36571185714287;7.767665964285714;0.9854731428571429;31.28597828571429;15.178473357142858;103.36708832142855;113.009;0.525;8.237;0.171;1858964;3.1954114306064545;77170;103.368;103.368;103.36803571428565;0.00018900902868862468;0.708;0.591;0.6531785714285713;0.028648642358671324
;53edbf6b0216c5126673dfacaba388c4cef6b4fd4ca7f0d799b8feba9574af04;4;8;32;128;--cpu-bind=cores --distribution=block:block:fcyclic --hint=nomultithread;;nest-simulator/2.14.0-timers/intel_mpi;;;;;;;;24655793;100000.0;100.0;;;'optimized';102.8953535;8.475171366666666;0.9589172333333333;29.49806563333333;15.775541533333334;102.89628723333335;113.576;0.434;9.183;0.455;1843604;3.1918053438074168;77170;102.898;102.898;102.89800000000002;1.370279709066581e-06;0.606;0.563;0.6157187499999999;0.04673206702800483
;53edbf6b0216c5126673dfacaba388c4cef6b4fd4ca7f0d799b8feba9574af04;4;9;32;128;--cpu-bind=cores --distribution=block:block:fcyclic --hint=nomultithread;;nest-simulator/2.14.0-timers/intel_mpi;;;;;;;;24603328;100000.0;100.0;;;'optimized';128.82962390000003;13.870004166666664;0.9496654999999999;37.53700306666667;14.888832233333334;128.83065643333333;140.741;0.473;10.476;0.417;1700372;3.185013509232765;77170;128.832;128.831;128.83127777777784;0.00045423327058016663;0.543;0.52;0.57175;0.03559564580113728
;53edbf6b0216c5126673dfacaba388c4cef6b4fd4ca7f0d799b8feba9574af04;4;10;32;128;--cpu-bind=cores --distribution=block:block:fcyclic --hint=nomultithread;;nest-simulator/2.14.0-timers/intel_mpi;;;;;;;;24682577;100000.0;100.0;;;'optimized';133.45731626666668;13.267146866666668;0.9346611333333331;38.0468027;15.832930566666668;133.45867123333332;146.209;0.535;11.439;0.27;1700628;3.1952726552959807;77170;133.46;133.459;133.459725;0.00045221008427266733;0.507;0.485;0.54105;0.028855919714403263
