commit,num_mpi_tasks,num_nodes,num_omp_threads,wrapper,model_time_sim,model_time_presim,mpi_counter,max_spike_buffer_size,send_buffer_size,receive_buffer_size,V0_type,wall_time_phase_update,wall_time_phase_collocate,wall_time_phase_communicate,wall_time_phase_deliver,wall_time_phase_total,local_spike_counter,wall_time_total,wall_time_total,simulation_time_std,wall_time_connect,wall_time_connect,connection_time_std,wall_time_creation,wall_time_connect
,1,1,1,,10000.0,100.0,,,189.0,189.0,'optimized',854.4798,0.223343,0.026888,889.92911,1745.4375,2470188.0,1745.46,1745.46,0.00,163.58,163.58,0.00,20,20
,1,1,2,,10000.0,100.0,,,191.0,191.0,'optimized',452.96797,0.247162,0.03821,458.98379,912.96858,2469579.0,912.98,912.98,0.00,91.89,91.89,0.00,20,20
,1,1,3,,10000.0,100.0,,,164.0,164.0,'optimized',333.87428,0.255668,0.026459,293.9421,628.77463,2468233.0,628.78,628.78,0.00,69.51,69.51,0.00,20,20
,1,1,4,,10000.0,100.0,,,190.0,190.0,'optimized',302.08605,0.270843,0.030842,217.04623,520.23121,2465647.0,520.24,520.24,0.00,52.61,52.61,0.00,20,20
,1,1,5,,10000.0,100.0,,,197.0,197.0,'optimized',239.59363,0.300939,0.028652,162.26204,403.01128,2463813.0,403.02,403.02,0.00,49.08,49.08,0.00,20,20
,1,1,6,,10000.0,100.0,,,187.0,187.0,'optimized',213.75844,0.29001,0.028285,132.18599,347.07776,2463711.0,347.08,347.08,0.00,41.48,41.48,0.00,20,20
,1,1,7,,10000.0,100.0,,,214.0,214.0,'optimized',188.33531,0.275571,0.029195,104.23948,293.57537,2436545.0,293.58,293.58,0.00,36.43,36.43,0.00,20,20
,1,1,8,,10000.0,100.0,,,206.0,206.0,'optimized',172.72762,0.31952,0.032066,86.491168,260.30299,2479141.0,260.31,260.31,0.00,35.48,35.48,0.00,20,20
,1,1,9,,10000.0,100.0,,,199.0,199.0,'optimized',147.01342,0.315771,0.028683,74.015633,222.04933,2464499.0,222.06,222.06,0.00,32.53,32.53,0.00,20,20
,1,1,10,,10000.0,100.0,,,177.0,177.0,'optimized',127.78607,0.312836,0.032799,65.351422,194.10816,2482693.0,194.11,194.11,0.00,33.42,33.42,0.00,20,20
,1,1,11,,10000.0,100.0,,,178.0,178.0,'optimized',112.73697,0.289118,0.02862,57.368732,170.99349,2462310.0,171.00,171.00,0.00,24.36,24.36,0.00,20,20
,1,1,12,,10000.0,100.0,,,198.0,198.0,'optimized',101.69255,0.286584,0.023333,51.594736,154.21467,2457674.0,154.22,154.22,0.00,24.95,24.95,0.00,20,20
,1,1,13,,10000.0,100.0,,,195.0,195.0,'optimized',90.747366,0.250157,0.016551,46.710047,138.21452,2475945.0,138.22,138.22,0.00,26.69,26.69,0.00,20,20
,1,1,14,,10000.0,100.0,,,173.0,173.0,'optimized',83.233779,0.302584,0.015168,42.712466,126.7852,2461712.0,126.79,126.79,0.00,25.92,25.92,0.00,20,20
